ID,Hazard,Causes,Clinical effect,Existing controls,Control evidence,Initial likelihood,Initial severity,Initial risk,Residual likelihood,Residual severity,Residual risk,Owner,Status
H-01,Referral attached to the wrong patient,"Ambiguous or partial demographics; DOB transcription error; two patients sharing name+DOB; OCR/extraction error","Clinical information filed against the wrong record - wrong or delayed treatment, missed care for the intended patient",Identifier-first deterministic matcher; ANY match-risk reason code (DOB_MISMATCH / PARTIAL / MULTIPLE_CANDIDATES / NO_MATCH) blocks auto-create and routes to a human; AI never owns the match decision,"services/rules-engine/src/matcher.py; services/rules-engine/src/rules.py; REF-004; REF-005; REF-006; docs/testing/phase5-acceptance.md",High,Major,High,Low,Major,Moderate,Clinical Safety Officer (simulated),Open - controlled
H-02,Duplicate referral record created,"Same referral letter ingested twice; re-run of the bot; concurrent submission","Duplicate pathway entry - double booking, wasted clinic capacity, conflicting records, patient confusion",Live existing-referral check in OpenMRS; DUPLICATE_REFERRAL routes to a human; write keyed idempotently on the REF-NNN source-document id; Orchestrator queue unique-reference enforcement,"services/openmrs-workflow/src/referral_writer.py; services/rules-engine/src/patient_repository.py; REF-007; docs/testing/phase6-acceptance.md",Medium,Considerable,High,Low,Considerable,Low,Clinical Safety Officer (simulated),Open - controlled
H-03,Urgent / 2-week-wait suspected-cancer referral delayed,"Urgent referral misclassified as routine; automation files it without prioritisation","Delayed diagnosis or treatment of a time-critical condition - potential for serious harm",Urgent / suspected-cancer / red-flag detection at extraction; URGENT_RED_FLAG forces mandatory human review and is never silently auto-filed; reviewer expedites,"services/extraction-service/run_extraction.py; services/rules-engine/src/rules.py; REF-008; docs/testing/phase9-acceptance.md",Medium,Major,High,Low,Major,Moderate,Clinical Safety Officer (simulated),Open - controlled
H-04,Record created from an AI mis-extraction,"LLM hallucination or mis-read; degraded / handwritten scan; OCR error","A record is created containing wrong clinical data - wrong downstream decisions",AI only proposes; output is JSON-schema validated; deterministic regex fallback path; LOW_EXTRACTION_CONFIDENCE routes to a human; the AI never owns the create decision,"services/extraction-service/schema/extraction.schema.json; services/extraction-service/run_extraction.py; REF-013; docs/testing/phase4-acceptance.md",High,Considerable,High,Low,Considerable,Low,Clinical Safety Officer (simulated),Open - controlled
H-05,Incomplete referral actioned,"Mandatory clinical fields missing or non-substantive in the source letter","An unactionable or unsafe referral enters the pathway - patient stuck, clinician cannot act",Completeness rules over mandatory fields; INCOMPLETE_MANDATORY_FIELDS routes to a human; reviewer may amend-and-complete or reject back to the GP,"services/rules-engine/src/rules.py; REF-012; docs/testing/phase5-acceptance.md",Medium,Significant,Moderate,Low,Significant,Low,Clinical Safety Officer (simulated),Open - controlled
H-06,Safeguarding / child-patient concern processed without oversight,"Automation handles a paediatric or safeguarding-flagged referral end to end","A safeguarding concern is not escalated to the right person - risk to a vulnerable patient",SAFEGUARDING and CHILD_PATIENT signals force mandatory human review; reviewer flags to the named safeguarding lead before any record is created,"services/extraction-service/run_extraction.py; services/rules-engine/src/rules.py; REF-009; docs/testing/phase9-acceptance.md",Low,Major,Moderate,Low,Major,Moderate,Clinical Safety Officer (simulated),Open - controlled
H-07,Unreadable / corrupt referral silently dropped,"Corrupt file; unsupported format; read failure","A referral is lost - the patient is never seen, with no record that it arrived",FILE_UNREADABLE raises a System Exception (not a silent skip); the queue item is marked Failed and the event is audited for follow-up; fail-safe not fail-open,"services/rules-engine/src/decision_engine.py; uipath/NHS.ReferralSafety.Performer/Framework/Process.xaml; REF-015; docs/testing/phase8-acceptance.md",Medium,Major,High,Low,Major,Moderate,Clinical Safety Officer (simulated),Open - controlled
H-08,Non-referral document creates a spurious record,"A letter that is not a referral is mistaken for one","A meaningless or misleading record enters the pathway","is_referral detection; a readable non-referral raises a Business Exception (no retry, no record) and is audited","services/extraction-service/run_extraction.py; services/rules-engine/src/decision_engine.py; REF-014; docs/testing/phase8-acceptance.md",Low,Significant,Low,Low,Significant,Low,Clinical Safety Officer (simulated),Open - controlled
H-09,Bot fails open and writes an unsafe record,"Transient OpenMRS / service error mid-write; partial write; verification skipped","A record is created but is incomplete or unverified - clinicians trust bad data",Every create is verified by re-reading it back from OpenMRS; a verify mismatch raises a System Exception; MaxRetryNumber and MaxConsecutiveSystemExceptions are explicit; the bot escalates rather than proceed,"services/openmrs-workflow/src/referral_writer.py; uipath/NHS.ReferralSafety.Performer/Framework/Process.xaml; docs/testing/phase6-acceptance.md",Medium,Considerable,High,Low,Considerable,Low,Clinical Safety Officer (simulated),Open - controlled
H-10,A safety-relevant action cannot be audited,"No trace of who/what/when - harm cannot be investigated or learned from","Inability to investigate an incident, identify the cause, or demonstrate safe operation","Append-only audit log (data/audit/audit-log.csv) written on every system action - decision, write, route, exception; the human-review store records reviewer identity and rationale (who / what / before-after / when / why)","uipath/NHS.ReferralSafety.Performer/Framework/Process.xaml; services/review-service/src/review_store.py; docs/testing/phase9-acceptance.md",Medium,Considerable,High,Low,Considerable,Low,Clinical Safety Officer (simulated),Open - controlled
H-11,Referral routed to review is never resolved,"Review store grows; no clinician picks it up; a decision is lost","Indefinitely delayed care for a patient whose referral is stuck in a queue",Persistent SQLite review store with an explicit PENDING -> DECIDED -> RESOLVED lifecycle; nothing is silently dropped; idempotent resolver; PENDING backlog is queryable and reportable,"services/review-service/src/review_store.py; reports/dashboard.html; docs/testing/phase9-acceptance.md",Medium,Major,High,Medium,Major,High,Deploying organisation (DCB0160 - operational),Open - operational control required
H-12,Wrong reviewer decision applied with no accountability,"A reviewer approves the wrong patient or rejects a valid referral with no record of why","An unsafe outcome is actioned and cannot be traced back to a decision-maker","A decision requires a named reviewer and a mandatory rationale; the decision changes the outcome only through the resolver, which still verifies the OpenMRS write; the whole decision is audited","services/review-service/record_decision.py; services/review-service/resolve_reviews.py; docs/testing/phase9-acceptance.md",Medium,Considerable,High,Low,Considerable,Low,Clinical Safety Officer (simulated),Open - controlled
